Feature,Importance
police_force_idx,0.39277393521276144
age_idx,0.32295911978378855
law_idx,0.12328623345487112
reason_idx,0.06005284113750188
search_type_idx,0.050289565644033966
gender_idx,0.026273941971429227
hour,0.011735154687229497
ethnicity_idx,0.005249789468398751
dayofyear,0.004601881323322346
dayofweek,0.001844770210138206
month,0.0009327671065250155
