Feature,Importance
police_force_idx,0.40081650254361323
age_idx,0.27631425728775916
law_idx,0.1321668860744874
reason_idx,0.07316354824131284
search_type_idx,0.0439463366507108
gender_idx,0.0316050023495989
hour,0.02465002959461952
dayofyear,0.007793602873949923
ethnicity_idx,0.005310789507895445
dayofweek,0.002869104467256376
month,0.0013639404087965124
