cores,percentage,runtime
4,10,7.151040315628052
4,20,7.410017251968384
4,40,9.007036924362183
4,60,9.471789360046387
4,80,10.507692098617554
4,100,10.775423288345337
1,100,20.536360263824463
2,100,13.924690961837769
3,100,12.327056407928467
4,100,12.084986686706543
